SpeciesAuthor,lon_dd,lat_dd,damping_ratio
Limonium_carolinianum,-64.35,45.0833333333,1.549817768
Linum_catharticum,5.9133611111,50.8503333333,4.0933516264
Lobularia_maritima,2.1333333333,41.4166666667,2.2857671462
Lobularia_maritima,2.1333333333,41.4166666667,1.8637954165
Lobularia_maritima,2.1333333333,41.4166666667,1.0076006574
Lobularia_maritima,2.1333333333,41.4166666667,1.0061152615
Lobularia_maritima,2.1333333333,41.4166666667,1.0140064973
Lobularia_maritima,2.1333333333,41.4166666667,3.792
Lomatium_bradshawii,-123.3,44.15,2.3239894726
Lomatium_bradshawii_2,-123.25,44.0833333333,2.9946508831
Lomatium_bradshawii_2,-123.25,44.05,2.4752586115
Lomatium_cookii,-123.6333333333,42.1,1.7674980789
Lomatium_cookii,-123.6333333333,42.1,1.592743811
Lupinus_tidestromii,-122.9566666667,38.1086111111,1.5586286548
Lupinus_tidestromii,-122.9683333333,38.0852777778,1.7125007004
Lupinus_tidestromii,-122.9766666667,38.0686111111,2.194136183
Lupinus_tidestromii,-122.9566666667,38.1086111111,1.0885146967
Lupinus_tidestromii,-122.9683333333,38.0852777778,1.5744707622
Lupinus_tidestromii,-122.9766666667,38.0686111111,1.5044129193
Minuartia_obtusiloba,-105.6,40.05,1.0103154236
Nardostachys_grandiflora,82.8083333333,29.1583333333,2.1351654273
Nardostachys_grandiflora,82.8083333333,29.1583333333,2.1583807883
Neotinea_ustulata,23.1811111111,58.5561111111,6.5082980801
Neotinea_ustulata,25.7227777778,59.2552777778,32.3939099449
Neotinea_ustulata,23.2072222222,58.6283333333,3.2959789057
Neotinea_ustulata,23.3202777778,58.6463888889,5.0751116525
Neotinea_ustulata,23.5680555556,58.6147222222,8.3333333333
Oenothera_deltoides,-121.7916666667,38.0130555556,1.7542944293
Ophrys_sphegodes,0.8224,50.9288361111,13.492872807
Orchis_purpurea,5.75,50.75,14.3294045926
Orchis_purpurea,5.75,50.75,1.7226264574
Orchis_purpurea,5.75,50.75,1.8157628527
Orchis_purpurea,5.75,50.75,1.4264864075
Orchis_purpurea,5.75,50.75,1.4941184602
Orchis_purpurea,5.75,50.75,1.8217669287
Oxalis_acetosella,17.6888888889,59.8333333333,3.5221465384
Oxalis_acetosella,17.6897222222,59.8333333333,5.269034035
Oxalis_acetosella,17.75,59.9083333333,3.2015527385
Paronychia_pulvinata,-105.6169444444,40.0594444444,1.0117054318
Pinguicula_villosa,18.8166666667,68.35,2.1160140083
Pinguicula_vulgaris,18.8166666667,68.35,1.5501541008
Poa_alpina,11.0333333333,46.8166666667,1.8132858007
Poa_alpina,11.0333333333,46.8166666667,1.7181798357
Poa_alpina,11.0333333333,46.8166666667,1.4777433873
Potentilla_anserina,18.0649111111,59.3286805556,4.3318014706
Primula_elatior,4.8833333333,50.85,1.3668518241
Primula_elatior,4.8833333333,50.85,1.1142682138
Primula_elatior,4.8833333333,50.85,1.3591024733
Primula_elatior,4.8833333333,50.85,1.4533857265
Primula_elatior,4.8833333333,50.85,1.409039124
Primula_elatior,4.8833333333,50.85,1.6935437762
Primula_veris,17.5833333333,58.95,1.5196910237
Primula_veris,17.5833333333,58.95,1.4233071069
Primula_veris,17.5833333333,58.95,1.4402932887
Primula_veris_3,5.85,50.7166666667,2.3314253005
Primula_veris_3,5.85,50.7166666667,2.1272576636
Primula_veris_4,5.8166666667,50.75,1.2884369748
Primula_vulgaris,0.6939777778,51.7778083333,1.9208556666
Primula_vulgaris,0.6939777778,51.7778083333,2.285668734
Primula_vulgaris,0.65,51.9666666667,2.036574449
Primula_vulgaris,0.8117472222,52.1494972222,2.369665431
Primula_vulgaris,0.6939777778,51.7778083333,2.0523456382
Primula_vulgaris,0.6939777778,51.7778083333,2.7730418658
Pyrrocoma_radiata,-117.3213444444,44.4111638889,4.3347062353
Pyrrocoma_radiata,-117.313,44.412,8.5303753089
Pyrrocoma_radiata,-117.327,44.479,4.3699783144
Pyrrocoma_radiata,-117.333,44.476,3.5540178863
Ramonda_myconi,1.85,42.35,1.4603505726
Ramonda_myconi,1.7833333333,42.3166666667,1.3639862715
Ramonda_myconi,1.7833333333,42.3166666667,1.3219441383
Ranunculus_acris,-4.0236111111,53.2372222222,1.6122046953
Ranunculus_acris,-4.0236111111,53.2372222222,3.1067988669
Ranunculus_peltatus,16,59.1333333333,1.3091931747
Rubus_discolor,-123.3333333333,44.6666666667,1.992691105
Rubus_discolor,-123.3333333333,44.6666666667,1.117300826
Rubus_ursinus,-123.3333333333,44.6666666667,1.1729190829
Rubus_ursinus,-123.3333333333,44.6666666667,1.0835556063
Saponaria_bellidifolia,23.415,46.4816666667,1.2475634499
Saponaria_bellidifolia,23.4036111111,46.4647222222,1.7387003987
Saponaria_bellidifolia,23.5055555556,46.4519444444,2.0153205501
Saponaria_bellidifolia,23.5280555556,46.4466666667,1.834089668
Sarcocapnos_baetica,-3,37.8666666667,1.4064577398
Sarcocapnos_pulcherrima,-3.7833333333,37.35,1.9674982504
Sarracenia_purpurea,-71.3824361111,42.4072111111,1.1845527976
Sarracenia_purpurea,-72.9441722222,44.1166055556,1.5223302147
Saussurea_medusa,98.6847222222,28.4388888889,1.7160468845
Saxifraga_aizoides,11.0333333333,46.8166666667,1.2321968738
Saxifraga_aizoides,11.0333333333,46.8166666667,1.1896160793
Saxifraga_cotyledon,14.8833333333,66.0666666667,1.6417741606
Saxifraga_cotyledon,14.8833333333,66.0666666667,1.3596853614
Scabiosa_columbaria,5.2912666667,52.132875,2.1432794188
Setaria_incrassata,31.4,-24.6333333333,2.1009416561
Setaria_incrassata,31.4,-24.6333333333,1.7328008288
Setaria_incrassata,31.4,-24.6333333333,2.2845902039
Setaria_incrassata_2,31.4,-24.6333333333,1.4035863682
Setaria_incrassata_2,31.4,-24.6333333333,1.4387968867
Setaria_incrassata_2,31.4,-24.6333333333,1.3496200099
Silene_spaldingii,-115.05,48.9666666667,9.2953151391
Sporobolus_heterolepis,-96.5833333333,39.0833333333,2.0952440127
Sporobolus_heterolepis,-96.5833333333,39.0833333333,2.4826842299
Succisa_pratensis_3,17.4,58.8333333333,1.704789178
Succisa_pratensis_3,17.4,58.8333333333,2.4096960715
Succisa_pratensis_3,17.4,58.8333333333,2.4812029183
Succisa_pratensis_3,17.4,58.8333333333,2.126654878
Succisa_pratensis_3,17.4,58.8333333333,1.8650208064
Succisa_pratensis_3,17.4,58.8333333333,3.8768625481
Themeda_triandra,31.4,-24.6333333333,1.7902661307
Tragopogon_pratensis,17.4,58.8333333333,1.0853141916
Tragopogon_pratensis,17.4,58.8333333333,1.0268903579
Trillium_apetalon,143.5333333333,43.4166666667,4.0895202359
Trillium_camschatcense,143.5333333333,43.4166666667,1.7315875053
Trillium_grandiflorum,-80.4333333333,41.5166666667,1.3350330095
